id,name,email,score,active,department,salary
0,User0,user0@example.com,0.0,True,Dept0,50000
1,User1,user1@example.com,0.5,False,Dept1,50100
2,User2,user2@example.com,1.0,True,Dept2,50200
3,User3,user3@example.com,1.5,False,Dept3,50300
4,User4,user4@example.com,2.0,True,Dept4,50400
5,User5,user5@example.com,2.5,False,Dept5,50500
6,User6,user6@example.com,3.0,True,Dept6,50600
7,User7,user7@example.com,3.5,False,Dept7,50700
8,User8,user8@example.com,4.0,True,Dept8,50800
9,User9,user9@example.com,4.5,False,Dept9,50900
10,User10,user10@example.com,5.0,True,Dept0,51000
11,User11,user11@example.com,5.5,False,Dept1,51100
12,User12,user12@example.com,6.0,True,Dept2,51200
13,User13,user13@example.com,6.5,False,Dept3,51300
14,User14,user14@example.com,7.0,True,Dept4,51400
15,User15,user15@example.com,7.5,False,Dept5,51500
16,User16,user16@example.com,8.0,True,Dept6,51600
17,User17,user17@example.com,8.5,False,Dept7,51700
18,User18,user18@example.com,9.0,True,Dept8,51800
19,User19,user19@example.com,9.5,False,Dept9,51900
20,User20,user20@example.com,10.0,True,Dept0,52000
21,User21,user21@example.com,10.5,False,Dept1,52100
22,User22,user22@example.com,11.0,True,Dept2,52200
23,User23,user23@example.com,11.5,False,Dept3,52300
24,User24,user24@example.com,12.0,True,Dept4,52400
25,User25,user25@example.com,12.5,False,Dept5,52500
26,User26,user26@example.com,13.0,True,Dept6,52600
27,User27,user27@example.com,13.5,False,Dept7,52700
28,User28,user28@example.com,14.0,True,Dept8,52800
29,User29,user29@example.com,14.5,False,Dept9,52900
30,User30,user30@example.com,15.0,True,Dept0,53000
31,User31,user31@example.com,15.5,False,Dept1,53100
32,User32,user32@example.com,16.0,True,Dept2,53200
33,User33,user33@example.com,16.5,False,Dept3,53300
34,User34,user34@example.com,17.0,True,Dept4,53400
35,User35,user35@example.com,17.5,False,Dept5,53500
36,User36,user36@example.com,18.0,True,Dept6,53600
37,User37,user37@example.com,18.5,False,Dept7,53700
38,User38,user38@example.com,19.0,True,Dept8,53800
39,User39,user39@example.com,19.5,False,Dept9,53900
40,User40,user40@example.com,20.0,True,Dept0,54000
41,User41,user41@example.com,20.5,False,Dept1,54100
42,User42,user42@example.com,21.0,True,Dept2,54200
43,User43,user43@example.com,21.5,False,Dept3,54300
44,User44,user44@example.com,22.0,True,Dept4,54400
45,User45,user45@example.com,22.5,False,Dept5,54500
46,User46,user46@example.com,23.0,True,Dept6,54600
47,User47,user47@example.com,23.5,False,Dept7,54700
48,User48,user48@example.com,24.0,True,Dept8,54800
49,User49,user49@example.com,24.5,False,Dept9,54900
50,User50,user50@example.com,25.0,True,Dept0,55000
51,User51,user51@example.com,25.5,False,Dept1,55100
52,User52,user52@example.com,26.0,True,Dept2,55200
53,User53,user53@example.com,26.5,False,Dept3,55300
54,User54,user54@example.com,27.0,True,Dept4,55400
55,User55,user55@example.com,27.5,False,Dept5,55500
56,User56,user56@example.com,28.0,True,Dept6,55600
57,User57,user57@example.com,28.5,False,Dept7,55700
58,User58,user58@example.com,29.0,True,Dept8,55800
59,User59,user59@example.com,29.5,False,Dept9,55900
60,User60,user60@example.com,30.0,True,Dept0,56000
61,User61,user61@example.com,30.5,False,Dept1,56100
62,User62,user62@example.com,31.0,True,Dept2,56200
63,User63,user63@example.com,31.5,False,Dept3,56300
64,User64,user64@example.com,32.0,True,Dept4,56400
65,User65,user65@example.com,32.5,False,Dept5,56500
66,User66,user66@example.com,33.0,True,Dept6,56600
